,Serialno,ROLL_x,ROLL,PITCH,YAW,ODDO1,ODDO1_SPEED,ODDO2,ODDO2_SPEED,VELOCITY,BATTERY_PERCENTAGE,BATTERY_VOLTAGE,TEMP1,TEMP2,filename,proximity1,proximity2,proximity3,proximity4,proximity5,proximity6,proximity7,proximity8,proximity9,proximity10,proximity11,proximity12,proximity13,proximity14,proximity15,proximity16,proximity17,proximity18,runid,index
36,78232,-118.7,36.31,-0.73,80.07,15877.45066,0.01,3060.935252,0.01,0,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20886192,20929136,20837808,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78233
37,78233,-118.7,36.31,-0.73,80.07,15877.85362,0.01,3061.726619,0.01,0,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20888272,20929136,20837808,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78234
38,78234,-118.7,36.31,-0.73,80.07,15878.25658,0.01,3062.517986,0.01,0,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20888272,20929136,20837808,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78235
39,78235,-118.7,36.31,-0.73,80.07,15878.65954,0.01,3063.309353,0.01,0,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20888272,20929136,20837808,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78236
40,78236,-118.7,36.31,-0.73,80.07,15879.0625,0.01,3064.100719,0.01,0,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20888272,20929136,20837808,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78237
41,78237,-118.7,36.31,-0.73,80.07,15879.46546,0.01,3064.892086,0.01,0,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20888272,20929136,20837808,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78238
42,78238,-118.67,36.34,-1.15,80.45,15879.86842,0.01,3065.683453,0.01,-0.08,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20888272,20929136,20837808,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78239
43,78239,-118.67,36.34,-1.15,80.45,15880.27138,0.01,3066.47482,0.01,-0.08,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20888272,20929136,20837808,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78240
44,78240,-118.67,36.34,-1.15,80.45,15880.67434,0.01,3067.266187,0.01,-0.08,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20888272,20929136,20837808,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78241
45,78241,-118.67,36.34,-1.15,80.45,15881.0773,0.01,3068.057554,0.01,-0.08,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20888272,20929136,20837808,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78242
46,78242,-118.67,36.34,-1.15,80.45,15881.48026,0.01,3068.848921,0.01,-0.08,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20888272,20929136,20837808,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78243
47,78243,-118.67,36.34,-1.15,80.45,15881.88322,0.01,3069.640288,0.01,-0.08,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20888272,20929136,20838048,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78244
48,78244,-118.67,36.34,-1.15,80.45,15882.28618,0.01,3070.431655,0.01,-0.08,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20888272,20929136,20838048,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78245
49,78245,-118.67,36.34,-1.15,80.45,15882.68914,0.01,3071.223022,0.01,-0.08,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20888272,20929136,20838048,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78246
50,78246,-118.67,36.34,-1.15,80.45,15883.09211,0.01,3072.014388,0.01,-0.08,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20888272,20929136,20838048,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78247
51,78247,-118.67,36.34,-1.15,80.45,15883.49507,0.01,3072.805755,0.01,-0.08,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20888272,20929136,20838048,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78248
52,78248,-118.67,36.34,-1.15,80.45,15883.89803,0.01,3073.597122,0.01,-0.08,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20888272,20929136,20838048,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78249
53,78249,-118.67,36.34,-1.15,80.45,15884.30099,0.01,3074.388489,0.01,-0.08,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20888272,20929136,20838048,20918816,20740048,20491120,20948416,20805648,20901424,20844192,20822704,20912864,24,78250
54,78250,-118.67,36.34,-1.15,80.45,15884.70395,0.01,3075.179856,0.01,-0.08,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21252368,20690992,20888272,20929136,20838048,20918816,20740048,20491120,20948416,20805648,20901424,20844192,20822704,20912864,24,78251
55,78251,-118.67,36.34,-1.15,80.45,15885.10691,0.01,3075.971223,0.01,-0.08,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21252368,20690992,20888272,20929136,20838048,20918816,20740048,20491120,20948416,20805648,20901424,20844192,20821840,20912864,24,78252
56,78252,-118.59,36.42,-1.05,80.43,15885.50987,0.01,3076.76259,0.01,-0.02,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21252368,20690992,20888272,20929136,20838048,20918816,20740048,20491120,20948416,20805648,20901424,20844192,20821840,20912864,24,78253
57,78253,-118.59,36.42,-1.05,80.43,15885.91283,0.01,3077.553957,0.01,-0.02,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21252368,20690992,20888272,20929136,20838048,20918816,20740048,20490656,20948416,20805648,20901424,20844192,20821840,20912864,24,78254
58,78254,-118.59,36.42,-1.05,80.43,15886.31579,0.01,3078.345324,0.01,-0.02,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21252368,20690992,20888272,20929136,20838048,20918816,20740048,20490656,20948416,20805648,20901424,20844192,20821840,20912864,24,78255
59,78255,-118.59,36.42,-1.05,80.43,15886.71875,0.01,3079.136691,0.01,-0.02,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21252368,20690992,20888272,20929136,20838048,20918816,20740048,20490656,20948416,20805648,20901424,20844192,20821840,20912864,24,78256
60,78256,-118.59,36.42,-1.05,80.43,15887.12171,0.01,3079.928058,0.01,-0.02,1710581516,0,0,0,1,20856768,20642000,20684256,20880208,21252368,20690992,20888272,20929136,20838048,20918816,20740048,20490656,20948416,20805648,20901424,20844192,20821840,20912864,24,78257
61,78257,-118.59,36.42,-1.05,80.43,15887.52467,0.01,3080.719424,0.01,-0.02,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929136,20838048,20918816,20740048,20490656,20948416,20805648,20901424,20844192,20821840,20912864,24,78258
62,78258,-118.59,36.42,-1.05,80.43,15887.92763,0.01,3081.510791,0.01,-0.02,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929136,20838048,20918816,20740048,20490656,20948416,20805648,20901424,20844192,20821840,20912864,24,78259
63,78259,-118.59,36.42,-1.05,80.43,15888.33059,0.01,3082.302158,0.01,-0.02,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929136,20838048,20918816,20740048,20490656,20948416,20805648,20901424,20844192,20821840,20912864,24,78260
64,78260,-118.59,36.42,-1.05,80.43,15888.73355,0.01,3083.093525,0.01,-0.02,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20918816,20740048,20490656,20948416,20805648,20901424,20844192,20821840,20912864,24,78261
65,78261,-118.59,36.42,-1.05,80.43,15889.13651,0.01,3083.884892,0.01,-0.02,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20918816,20740048,20490656,20948416,20805648,20901424,20844192,20821840,20912864,24,78262
66,78262,-118.59,36.42,-1.05,80.43,15889.53947,0.01,3084.676259,0.01,-0.02,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20918816,20740048,20490656,20948416,20806448,20901424,20844192,20821840,20912864,24,78263
67,78263,-118.59,36.42,-1.05,80.43,15889.94243,0.01,3085.467626,0.01,-0.02,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20918816,20740048,20490656,20948416,20806448,20901424,20844192,20821840,20912864,24,78264
68,78264,-118.59,36.42,-1.05,80.43,15890.34539,0.01,3086.258993,0.01,-0.02,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20918816,20740048,20490656,20948416,20806448,20901424,20844192,20821840,20912864,24,78265
69,78265,-118.59,36.42,-1.05,80.43,15890.74836,0.01,3087.05036,0.01,-0.02,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20918816,20740048,20490656,20948416,20806448,20901424,20844192,20821840,20912864,24,78266
70,78266,-118.59,36.42,-1.05,80.43,15891.15132,0.01,3087.841727,0.01,-0.02,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20918816,20740048,20490656,20948416,20806448,20901424,20844192,20821840,20912864,24,78267
71,78267,-118.5,36.51,-0.85,80.27,15891.55428,0.01,3088.633094,0.01,0.16,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20918816,20740048,20490656,20948416,20806448,20901424,20844192,20821840,20912864,24,78268
72,78268,-118.5,36.51,-0.85,80.27,15891.95724,0.01,3089.42446,0.01,0.16,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20918816,20740048,20490656,20948416,20806448,20901424,20844192,20821840,20912864,24,78269
73,78269,-118.5,36.51,-0.85,80.27,15892.3602,0.01,3090.215827,0.01,0.16,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20918816,20740048,20490656,20948416,20806448,20901424,20844192,20821840,20912864,24,78270
74,78270,-118.5,36.51,-0.85,80.27,15892.76316,0.01,3091.007194,0.01,0.16,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20918816,20740048,20490656,20948416,20806448,20901424,20844192,20821840,20912864,24,78271
75,78271,-118.5,36.51,-0.85,80.27,15893.16612,0.01,3091.798561,0.01,0.16,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20918816,20740048,20490656,20948416,20806448,20901424,20844192,20821840,20912864,24,78272
76,78272,-118.5,36.51,-0.85,80.27,15893.56908,0.01,3092.589928,0.01,0.16,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20918816,20740048,20490656,20948416,20806448,20901424,20844192,20821840,20912864,24,78273
77,78273,-118.5,36.51,-0.85,80.27,15893.97204,0.01,3093.381295,0.01,0.16,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20918816,20740048,20490656,20948416,20806448,20901424,20844192,20821840,20912864,24,78274
78,78274,-118.5,36.51,-0.85,80.27,15894.375,0.01,3094.172662,0.01,0.16,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20919136,20740048,20490656,20948416,20806448,20901424,20844192,20821840,20912864,24,78275
79,78275,-118.5,36.51,-0.85,80.27,15894.77796,0.01,3094.964029,0.01,0.16,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20919136,20740048,20490656,20948416,20806448,20901424,20844192,20821840,20912864,24,78276
80,78276,-118.5,36.51,-0.85,80.27,15895.18092,0.01,3095.755396,0.01,0.16,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20919136,20740048,20490656,20948416,20806448,20901424,20844192,20821840,20912864,24,78277
81,78277,-118.5,36.51,-0.85,80.27,15895.58388,0.01,3096.546763,0.01,0.16,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20919136,20740048,20490656,20948416,20806448,20901424,20844192,20821840,20912864,24,78278
82,78278,-118.5,36.51,-0.85,80.27,15895.98684,0.01,3097.338129,0.01,0.16,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20919136,20740048,20490656,20948416,20806448,20901424,20844192,20821840,20910864,24,78279
83,78279,-118.5,36.51,-0.85,80.27,15896.3898,0.01,3098.129496,0.01,0.16,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20919136,20740048,20490656,20948416,20806448,20901424,20843856,20821840,20910864,24,78280
84,78280,-118.5,36.51,-0.85,80.27,15896.79276,0.01,3098.920863,0.01,0.16,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690992,20888272,20929856,20838048,20919136,20740048,20490656,20948416,20806448,20901424,20843856,20821840,20910864,24,78281
85,78281,-118.5,36.51,-0.85,80.27,15897.19572,0.01,3099.71223,0.01,0.16,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690304,20888272,20929856,20838048,20919136,20740048,20490656,20948416,20806448,20901424,20843856,20821840,20910864,24,78282
86,78282,-118.44,36.57,-0.7,80.16,15897.59868,0.01,3100.503597,0.01,0.16,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690304,20888272,20929856,20838048,20919136,20740048,20490656,20948416,20806448,20901424,20843856,20821840,20910864,24,78283
87,78283,-118.44,36.57,-0.7,80.16,15898.00164,0.01,3101.294964,0.01,0,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690304,20888272,20929856,20838048,20919136,20739920,20490656,20948416,20806448,20901424,20843856,20821840,20910864,24,78284
88,78284,-118.44,36.57,-0.7,80.16,15898.40461,0.01,3102.086331,0.01,0,1710581516,0,0,0,1,20856768,20639888,20684256,20880208,21252368,20690304,20888272,20929856,20838048,20919136,20739920,20490656,20948416,20806448,20901424,20843856,20821840,20910864,24,78285
89,78285,-118.44,36.57,-0.7,80.16,15898.80757,0.01,3102.877698,0.01,0,1710581516,0,0,0,1,20856768,20639888,20684016,20880208,21252368,20690304,20888272,20929856,20838048,20919136,20739920,20490656,20948416,20806448,20901424,20843856,20821840,20910864,24,78286
90,78286,-118.44,36.57,-0.7,80.16,15899.21053,0.01,3103.669065,0.01,0,1710581516,0,0,0,1,20855376,20639888,20684016,20880208,21252368,20690304,20888272,20929856,20838048,20919136,20739920,20490656,20948416,20806448,20901424,20843856,20821840,20910864,24,78287
91,78287,-118.44,36.57,-0.7,80.16,15899.61349,0.01,3104.460432,0.01,0,1710581516,0,0,0,1,20855376,20639888,20684016,20880208,21252368,20690304,20888272,20929856,20838048,20919136,20739920,20490656,20948416,20806448,20901424,20843856,20821840,20910864,24,78288
92,78288,-118.44,36.57,-0.7,80.16,15900.01645,0.01,3105.251799,0.01,0,1710581516,0,0,0,1,20855376,20639888,20684016,20880208,21252368,20690304,20888272,20929856,20838048,20919136,20739920,20490656,20948416,20806448,20901424,20843856,20821840,20910864,24,78289
93,78289,-118.44,36.57,-0.7,80.16,15900.41941,0.01,3106.043165,0.01,0,1710581516,0,0,0,1,20855376,20639888,20684016,20880208,21252368,20690304,20888272,20929856,20838048,20919136,20739920,20490656,20948416,20806448,20901424,20843856,20821840,20910864,24,78290
94,78290,-118.44,36.57,-0.7,80.16,15900.82237,0.01,3106.834532,0.01,0,1710581516,0,0,0,1,20855376,20639888,20684016,20880208,21252368,20690304,20888272,20929856,20838048,20919136,20739920,20490656,20948416,20806448,20901424,20843856,20821840,20910864,24,78291
95,78291,-118.44,36.57,-0.7,80.16,15901.22533,0.01,3107.625899,0.01,0,1710581516,0,0,0,1,20855376,20639888,20684016,20880208,21252368,20690304,20888272,20929856,20838048,20919136,20739920,20490656,20948624,20806448,20901424,20843856,20821840,20910864,24,78292
96,78292,-118.44,36.57,-0.7,80.16,15901.62829,0.01,3108.417266,0.01,0,1710581516,0,0,0,1,20855376,20639888,20684016,20880208,21252368,20690304,20888272,20929856,20838048,20919136,20739920,20490656,20948624,20806448,20901424,20843856,20821840,20910864,24,78293
97,78293,-118.44,36.57,-0.7,80.16,15902.03125,0.01,3109.208633,0.01,0,1710581516,0,0,0,1,20855376,20639888,20684016,20880208,21252368,20690304,20887792,20929856,20838048,20919136,20739920,20490656,20948624,20806448,20901424,20843856,20821840,20910864,24,78294
98,78294,-118.44,36.57,-0.7,80.16,15902.43421,0.01,3110,0.01,0,1710581516,0,0,0,1,20855376,20639888,20684016,20880208,21252368,20690304,20887792,20929856,20838048,20919136,20739920,20490656,20948624,20806448,20901424,20843856,20821840,20910864,24,78295
